date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:06:05	185/185	---MCZ	200	added ('OK')	text/plain	etag:W/%2209929cc2f9cd1:0-gzip%22	https://www.convertcsv.com/robots.txt		(from )
19:06:05	41617/41617	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202023%2017:54:39%20GMT	https://www.convertcsv.com/	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/index.html	(from )
19:06:06	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Nov%202023%2013:36:09%20GMT	https://www.convertcsv.com/GET	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/GET	(from https://www.convertcsv.com/)
19:06:06	926/926	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2018%20Nov%202023%2013:36:09%20GMT	https://www.convertcsv.com/detroitchicago/boise.js	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/detroitchicago/boise.js	(from https://www.convertcsv.com/)
19:06:06	926/926	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Nov%202023%2023:51:21%20GMT	https://www.convertcsv.com/detroitchicago/boise.js?gcb=195-0&cb=2	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/detroitchicago/boise420f.js	(from https://www.convertcsv.com/)
19:06:07	6323/6323	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2018%20Nov%202023%2013:36:09%20GMT	https://www.convertcsv.com/parsonsmaize/abilene.js	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/parsonsmaize/abilene.js	(from https://www.convertcsv.com/)
19:06:07	6323/6323	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Nov%202023%2023:51:21%20GMT	https://www.convertcsv.com/parsonsmaize/abilene.js?gcb=195-0&cb=30	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/parsonsmaize/abilene9a5c.js	(from https://www.convertcsv.com/)
19:06:07	1002/1002	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2018%20Nov%202023%2013:36:09%20GMT	https://www.convertcsv.com/parsonsmaize/mulvane.js	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/parsonsmaize/mulvane.js	(from https://www.convertcsv.com/)
19:06:07	1002/1002	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2002%20Nov%202023%2001:04:09%20GMT	https://www.convertcsv.com/parsonsmaize/mulvane.js?gcb=195-0&cb=5	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/parsonsmaize/mulvane45f7.js	(from https://www.convertcsv.com/)
19:06:08	2255/2255	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2018%20Nov%202023%2013:36:10%20GMT	https://www.convertcsv.com/parsonsmaize/olathe.js	D:/SourceCode/https___www.convertcsv.com_/www.convertcsv.com/parsonsmaize/olathe.js	(from https://www.convertcsv.com/)
